Country,Date,Pfizer/BioNTech,Moderna,Oxford/AstraZeneca,Johnson&Johnson,Sputnik V
Germany,2021-07-27,68950258,8351784,12550270,2460694,0
Germany,2021-07-28,69606897,8398434,12574920,2475016,0
Germany,2021-07-29,70120596,8441992,12594749,2489697,0
Germany,2021-07-30,70518527,8487485,12609848,2505739,0
Germany,2021-07-31,70655016,8523648,12615682,2518090,0
Germany,2021-08-01,70727629,8548588,12617400,2523984,0
Germany,2021-08-02,70964332,8582031,12626281,2535397,0
Germany,2021-08-03,71401455,8620354,12638168,2548850,0
Germany,2021-08-04,71953936,8657198,12650271,2562360,0
Germany,2021-08-05,72425895,8697163,12657370,2577324,0
Germany,2021-08-06,72796030,8732945,12664297,2592494,0
Germany,2021-08-07,72930579,8765004,12665626,2605612,0
Germany,2021-08-08,73013670,8786648,12666197,2609467,0
Germany,2021-08-09,73249702,8828161,12671951,2618957,0
Germany,2021-08-10,73655550,8870753,12680239,2630851,0
Germany,2021-08-11,74160272,8918320,12689643,2647161,0
Germany,2021-08-12,74582366,8956657,12696847,2666932,0
Germany,2021-08-13,74919695,8997871,12702397,2686614,0
Germany,2021-08-14,75065102,9030318,12703737,2702801,0
Germany,2021-08-15,75148876,9051215,12704188,2709741,0
Germany,2021-08-16,75363601,9084186,12707225,2724037,0
Germany,2021-08-17,75708699,9114000,12712920,2740331,0
Germany,2021-08-18,76109541,9144143,12718886,2759639,0
Germany,2021-08-19,76435148,9170650,12724345,2779825,0
Germany,2021-08-20,76695857,9194543,12728294,2800498,0
Germany,2021-08-21,76813820,9215697,12728986,2814681,0
Germany,2021-08-22,76882972,9231240,12729159,2820557,0
Germany,2021-08-23,77060449,9260456,12732609,2834592,0
Germany,2021-08-24,77334966,9286236,12736017,2851478,0
Germany,2021-08-25,77651002,9311241,12739206,2870421,0
Germany,2021-08-26,77919166,9333014,12741988,2889292,0
Germany,2021-08-27,78138550,9355390,12744296,2908678,0
Germany,2021-08-28,78246032,9370781,12744828,2923700,0
Germany,2021-08-29,78312030,9379213,12744901,2930027,0
Germany,2021-08-30,78467457,9396396,12746728,2943466,0
Germany,2021-08-31,78707896,9412325,12748881,2958858,0
Germany,2021-09-01,79000729,9428027,12750961,2974511,0
Germany,2021-09-02,79247987,9441106,12752894,2989809,0
Germany,2021-09-03,79443575,9453348,12754156,3004235,0
Germany,2021-09-04,79531336,9461901,12754518,3014125,0
Germany,2021-09-05,79580452,9467645,12754577,3019103,0
Germany,2021-09-06,79713645,9477404,12755679,3028380,0
Germany,2021-09-07,79938533,9486619,12756947,3040016,0
Germany,2021-09-08,80196651,9498849,12758207,3052840,0
Germany,2021-09-09,80439678,9510209,12759392,3066998,0
Germany,2021-09-10,80629676,9522707,12760378,3082584,0
Germany,2021-09-11,80718299,9531552,12760511,3093572,0
Germany,2021-09-12,80769484,9536726,12760556,3098806,0
Germany,2021-09-13,80907083,9546903,12761510,3110844,0
Germany,2021-09-14,81149123,9555112,12763073,3124332,0
Germany,2021-09-15,81433307,9566528,12764214,3139512,0
Germany,2021-09-16,81696815,9576348,12765782,3155523,0
Germany,2021-09-17,81906076,9587291,12766402,3171392,0
Germany,2021-09-18,81999431,9594928,12766641,3181564,0
Germany,2021-09-19,82051882,9600776,12766803,3186133,0
Germany,2021-09-20,82191990,9608630,12767697,3195738,0
Germany,2021-09-21,82435825,9616447,12768391,3206540,0
Germany,2021-09-22,82713852,9626464,12769233,3218712,0
Germany,2021-09-23,82976387,9634623,12769936,3232265,0
Germany,2021-09-24,83176207,9644060,12770377,3244951,0
Germany,2021-09-25,83260882,9650410,12770466,3253531,0
Germany,2021-09-26,83306402,9654262,12770500,3257611,0
Germany,2021-09-27,83440505,9660406,12770841,3265847,0
Germany,2021-09-28,83676140,9666098,12771191,3275960,0
Germany,2021-09-29,83928315,9671752,12771707,3286019,0
Germany,2021-09-30,84145348,9677353,12772034,3296238,0
Germany,2021-10-01,84262700,9680378,12772252,3302656,0
Germany,2021-10-02,84286861,9682334,12772290,3305638,0
Germany,2021-10-03,84293796,9683086,12772292,3306434,0
Germany,2021-10-04,84381200,9686701,12772485,3311636,0
Germany,2021-10-05,84590957,9690524,12772764,3318040,0
Germany,2021-10-06,84813552,9694845,12772962,3324715,0
Germany,2021-10-07,85038441,9699266,12773232,3332591,0
Germany,2021-10-08,85185312,9703440,12773383,3339438,0
Germany,2021-10-09,85217486,9705939,12773404,3342622,0
Germany,2021-10-10,85227191,9706854,12773408,3343855,0
Germany,2021-10-11,85317517,9710632,12773563,3348254,0
Germany,2021-10-12,85521227,9715844,12773768,3353618,0
Germany,2021-10-13,85742090,9721377,12774016,3358934,0
Germany,2021-10-14,85961298,9726935,12774240,3364895,0
Germany,2021-10-15,86102235,9732380,12774338,3369828,0
Germany,2021-10-16,86136341,9734932,12774355,3372509,0
Germany,2021-10-17,86145234,9737092,12774361,3373341,0
Germany,2021-10-18,86236454,9741041,12774484,3377065,0
Germany,2021-10-19,86439526,9746019,12774688,3381312,0
Germany,2021-10-20,86659752,9751198,12774837,3385571,0
Germany,2021-10-21,86874847,9755832,12774967,3389960,0
Germany,2021-10-22,87016803,9760900,12775058,3394123,0
Germany,2021-10-23,87051176,9763928,12775081,3396463,0
Germany,2021-10-24,87061638,9764637,12775082,3397286,0
Germany,2021-10-25,87163764,9768533,12775160,3400090,0
Germany,2021-10-26,87406419,9774360,12775299,3404019,0
Germany,2021-10-27,87670646,9781584,12775447,3407699,0
Germany,2021-10-28,87934932,9788388,12775647,3411774,0
Germany,2021-10-29,88110697,9795555,12775806,3415317,0
Germany,2021-10-30,88152109,9799305,12775826,3417465,0
Germany,2021-10-31,88163496,9800213,12775842,3418102,0
Germany,2021-11-01,88220283,9803314,12775890,3419468,0
Germany,2021-11-02,88461397,9810152,12776044,3422072,0
Germany,2021-11-03,88774377,9818902,12776203,3425512,0
Germany,2021-11-04,89093735,9827098,12776443,3429536,0
Germany,2021-11-05,89324523,9836019,12776514,3433692,0
Germany,2021-11-06,89386249,9841725,12776544,3436694,0
Germany,2021-11-07,89406988,9843728,12776545,3437625,0
Germany,2021-11-08,89575625,9851349,12776627,3441019,0
Germany,2021-11-09,89953640,9862478,12776787,3445748,0
Germany,2021-11-10,90386917,9874657,12776918,3450386,0
Germany,2021-11-11,90821261,9887564,12777041,3455467,0
Germany,2021-11-12,91156597,9900249,12777126,3460317,0
Germany,2021-11-13,91253518,9906045,12777140,3463462,0
Germany,2021-11-14,91283640,9908372,12777147,3464245,0
Germany,2021-11-15,91522986,9918265,12777343,3468017,0
Germany,2021-11-16,92039229,9932407,12777474,3472641,0
Germany,2021-11-17,92616570,9949776,12777575,3477419,0
Germany,2021-11-18,93229825,9968870,12777744,3483355,0
Germany,2021-11-19,93738429,9989004,12778205,3490122,0
Germany,2021-11-20,93958328,10003580,12778276,3497108,0
Germany,2021-11-21,94027149,10012726,12778298,3498926,0
