AUS,Australia,Annual,Expenditure,"US dollars, PPP converted",,,TIME_PERIOD,OBS_VALUE,UNIT_MULT,Unit multiplier
COL,Colombia,Annual,Expenditure,"US dollars, PPP converted",,,2021,929.405,6,Millions
COL,Colombia,Annual,Expenditure,"US dollars, PPP converted",,,2020,175.001,6,Millions
COL,Colombia,Annual,Expenditure,"US dollars, PPP converted",,,2020,1184.264,6,Millions
COL,Colombia,Annual,Expenditure,"US dollars, PPP converted",,,2023,696.646,6,Millions
COL,Colombia,Annual,Expenditure,"US dollars, PPP converted",,,2022,95.768,6,Millions
COL,Colombia,Annual,Expenditure,"US dollars, PPP converted",,,2023,6.985,6,Millions
COL,Colombia,Annual,Expenditure,"US dollars, PPP converted",,,2021,75.299,6,Millions
COL,Colombia,Annual,Expenditure,"US dollars, PPP converted",,,2020,0.17,6,Millions
COL,Colombia,Annual,Expenditure,"US dollars, PPP converted",,,2022,47.739,6,Millions
COL,Colombia,Annual,Expenditure,"US dollars, PPP converted",,,2021,4755.858,6,Millions
COL,Colombia,Annual,Expenditure,"US dollars, PPP converted",,,2020,351.194,6,Millions
COL,Colombia,Annual,Expenditure,"US dollars, PPP converted",,,2022,4828.777,6,Millions
COL,Colombia,Annual,Expenditure,"US dollars, PPP converted",,,2021,3220.967,6,Millions
COL,Colombia,Annual,Expenditure,"US dollars, PPP converted",,,2022,4.543,6,Millions
COL,Colombia,Annual,Expenditure,"US dollars, PPP converted",,,2020,25.689,6,Millions
COL,Colombia,Annual,Expenditure,"US dollars, PPP converted",,,2022,221.578,6,Millions
COL,Colombia,Annual,Expenditure,"US dollars, PPP converted",,,2021,263.006,6,Millions
COL,Colombia,Annual,Expenditure,"US dollars, PPP converted",,,2020,228.045,6,Millions
COL,Colombia,Annual,Expenditure,"US dollars, PPP converted",,,2022,233.388,6,Millions
COL,Colombia,Annual,Expenditure,"US dollars, PPP converted",,,2021,569.977,6,Millions
COL,Colombia,Annual,Expenditure,"US dollars, PPP converted",,,2020,17.244,6,Millions
COL,Colombia,Annual,Expenditure,"US dollars, PPP converted",,,2022,205.793,6,Millions
COL,Colombia,Annual,Expenditure,"US dollars, PPP converted",,,2021,375.975,6,Millions
COL,Colombia,Annual,Expenditure,"US dollars, PPP converted",,,2020,279.7,6,Millions
COL,Colombia,Annual,Expenditure,"US dollars, PPP converted",,,2022,888.742,6,Millions
COL,Colombia,Annual,Expenditure,"US dollars, PPP converted",,,2021,606.542,6,Millions
