REF_AREA,Reference area,Health function,Price base,TIME_PERIOD,OBS_VALUE
CAN,Canada,COVID-19 related costs for medical goods,Current prices,2021,7.792871908720027
CAN,Canada,COVID-19 related treatment costs,Current prices,2021,9.258269022291959
CAN,Canada,COVID-19 related costs for vaccination,Current prices,2021,8.36123153943501
CHL,Chile,COVID-19 related costs for medical goods,Current prices,2021,7.273692693490011
CHL,Chile,COVID-19 related investment costs,Current prices,2021,4.843659388195232
COL,Colombia,COVID-19 related costs for vaccination,Current prices,2021,8.045877662005672
COL,Colombia,COVID-19 related treatment costs,Current prices,2021,7.249057262149427
CRI,Costa Rica,COVID-19 related costs for medical goods,Current prices,2021,0.07232066157962608
CRI,Costa Rica,COVID-19 related treatment costs,Current prices,2021,6.738272155682729
CRI,Costa Rica,COVID-19 related investment costs,Current prices,2021,2.5791556606911077
CRI,Costa Rica,COVID-19 related costs for vaccination,Current prices,2021,4.565691039443778
CYP,Cyprus,COVID-19 related costs for vaccination,Current prices,2021,3.7648214576890937
CYP,Cyprus,COVID-19 related costs for medical goods,Current prices,2021,0.5698489642154517
CYP,Cyprus,COVID-19 related investment costs,Current prices,2021,0.0944006754214843
CYP,Cyprus,COVID-19 related treatment costs,Current prices,2021,3.260938649240587
CZE,Czechia,COVID-19 related investment costs,Current prices,2021,2.0704007970276868
CZE,Czechia,COVID-19 related treatment costs,Current prices,2021,7.640478878655266
CZE,Czechia,COVID-19 related costs for medical goods,Current prices,2021,0.013902905168991434
CZE,Czechia,COVID-19 related costs for vaccination,Current prices,2021,6.922458652645358
DEU,Germany,COVID-19 related treatment costs,Current prices,2021,7.20641809182685
DEU,Germany,COVID-19 related costs for vaccination,Current prices,2021,9.213545729325105
DEU,Germany,COVID-19 related investment costs,Current prices,2021,6.459317427650962
DEU,Germany,COVID-19 related costs for medical goods,Current prices,2021,8.498355062841592
DNK,Denmark,COVID-19 related costs for vaccination,Current prices,2021,6.347348928634583
DNK,Denmark,COVID-19 related costs for medical goods,Current prices,2021,5.234615828375813
DNK,Denmark,COVID-19 related treatment costs,Current prices,2021,4.937784992281999
ESP,Spain,COVID-19 related treatment costs,Current prices,2021,9.27961966910606
ESP,Spain,COVID-19 related investment costs,Current prices,2021,5.950994053304111
ESP,Spain,COVID-19 related costs for medical goods,Current prices,2021,2.0423884774771253
ESP,Spain,COVID-19 related costs for vaccination,Current prices,2021,7.72770690188586
