STRUCTURE_NAME,ACTION,COUNTRY,Country,WEEK,GENDER,AGE,Age,VARIABLE,Variable,Year,Deaths,Observation Value,Month,Expenditure
"Mortality, by week",I,CAN,Canada,48,TOTAL,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,551,,12,13.024
"Mortality, by week",I,CAN,Canada,49,TOTAL,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,596,,12,13.024
"Mortality, by week",I,CAN,Canada,50,TOTAL,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,748,,12,13.024
"Mortality, by week",I,CAN,Canada,51,TOTAL,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,781,,12,13.024
"Mortality, by week",I,CAN,Canada,52,TOTAL,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,787,,12,13.024
"Mortality, by week",I,CAN,Canada,53,TOTAL,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,898,,12,13.024
"Mortality, by week",I,CHL,Chile,1,TOTAL,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,0,,1,9.697
"Mortality, by week",I,CHL,Chile,2,TOTAL,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,0,,1,9.697
"Mortality, by week",I,CHL,Chile,3,TOTAL,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,0,,1,9.697
"Mortality, by week",I,CHL,Chile,4,TOTAL,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,0,,1,9.697
